요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명
새아침약국,81,약국,250000,대전,250001,대전유성구
범일사약국,81,약국,210000,부산,210002,부산동구
나눔온누리약국,81,약국,310000,경기,310601,수원권선구
북면소망약국,81,약국,370000,경북,370019,울진군
대영약국,81,약국,310000,경기,311101,안산단원구
명약국,81,약국,310000,경기,310701,안양만안구
사랑약국,81,약국,240000,광주,240005,광주남구
압구정길약국,81,약국,110000,서울,110001,강남구
진약국,81,약국,360000,전남,360022,화순군
부부약국,81,약국,330000,충북,330009,진천군
당진약국,81,약국,340000,충남,340900,당진시
뜰에봄약국,81,약국,340000,충남,340016,태안군
바다약국,81,약국,380000,경남,380300,사천시
건강한약국,81,약국,380000,경남,380002,거창군
하남중앙약국,81,약국,310000,경기,311300,하남시
해맑은약국,81,약국,350000,전북,350300,익산시
샘물약국,81,약국,110000,서울,110005,구로구
달성곽약국,81,약국,230000,대구,230001,대구남구
제일조은약국,81,약국,310000,경기,311903,고양일산동구
삼강약국,81,약국,230000,대구,230002,대구동구
서울온누리약국,81,약국,220000,인천,220001,인천미추홀구
논산시장약국,81,약국,340000,충남,340700,논산시
큰믿음약국,81,약국,310000,경기,311902,고양일산서구
이화약국,81,약국,370000,경북,370900,상주시
해솔약국,81,약국,110000,서울,110005,구로구
부곡늘푸른약국,81,약국,310000,경기,311102,안산상록구
보령약국,81,약국,380000,경남,380005,남해군
신약국,81,약국,350000,전북,350300,익산시
불당비타민약국,81,약국,340000,충남,340201,천안서북구
성서약국,81,약국,230000,대구,230007,대구달서구
이조약국,81,약국,220000,인천,220008,인천계양구
권약국,81,약국,230000,대구,230002,대구동구
부활약국,81,약국,370000,경북,370200,구미시
호남약국,81,약국,360000,전남,360018,장흥군
율하푸른약국,81,약국,230000,대구,230002,대구동구
경북온누리약국,81,약국,370000,경북,370100,경주시
대곡강산약국,81,약국,230000,대구,230007,대구달서구
송약국,81,약국,350000,전북,350500,정읍시
그린약국,81,약국,230000,대구,230006,대구중구
싱싱약국,81,약국,370000,경북,370200,구미시
시티약국,81,약국,370000,경북,370200,구미시
기약국,81,약국,220000,인천,220008,인천계양구
호평중앙약국,81,약국,310000,경기,311500,남양주시
건강일등약국,81,약국,350000,전북,350100,군산시
서울메디칼약국,81,약국,220000,인천,220008,인천계양구
소사중앙약국,81,약국,310000,경기,310300,부천시
새경일온누리약국,81,약국,230000,대구,230007,대구달서구
메디팜세진약국,81,약국,310000,경기,311902,고양일산서구
우성약국,81,약국,230000,대구,230004,대구서구
덕산약국,81,약국,380000,경남,380008,산청군
그랜드약국,81,약국,230000,대구,230005,대구수성구
서산약국,81,약국,340000,충남,340016,태안군
경희약국,81,약국,370000,경북,370300,김천시
애양종로약국,81,약국,360000,전남,360500,여수시
상산약국,81,약국,330000,충북,330009,진천군
우정약국,81,약국,340000,충남,340201,천안서북구
양양군민약국,81,약국,320000,강원,320005,양양군
신성약국,81,약국,230000,대구,230007,대구달서구
건강약국,81,약국,370000,경북,370900,상주시
나래약국,81,약국,360000,전남,360022,화순군
유림약국,81,약국,370000,경북,370100,경주시
신구약국,81,약국,230000,대구,230002,대구동구
국기원약국,81,약국,110000,서울,110001,강남구
예산제일약국,81,약국,340000,충남,340012,예산군
가까운사랑약국,81,약국,110000,서울,110002,강동구
새성모약국,81,약국,310000,경기,312100,이천시
부영약국,81,약국,370000,경북,370701,포항남구
대한약국,81,약국,340000,충남,340700,논산시
편한약국,81,약국,350000,전북,350100,군산시
행복한 약국,81,약국,370000,경북,370017,예천군
미소약국,81,약국,310000,경기,312001,용인기흥구
동광약국,81,약국,210000,부산,210004,부산진구
개포메디칼약국,81,약국,110000,서울,110001,강남구
내츄럴팜약국,81,약국,360000,전남,360700,광양시
새아람약국,81,약국,330000,충북,330200,충주시
새수정약국,81,약국,310000,경기,312500,화성시
센텀중앙약국,81,약국,210000,부산,210009,부산해운대구
미소시티약국,81,약국,230000,대구,230006,대구중구
화성약국,81,약국,310000,경기,312500,화성시
조은약국,81,약국,350000,전북,350600,김제시
굿모닝약국,81,약국,310000,경기,310604,수원영통구
유림약국,81,약국,210000,부산,210001,부산남구
유진약국,81,약국,260000,울산,260001,울산남구
대전당약국,81,약국,250000,대전,250005,대전중구
바른약국,81,약국,230000,대구,230007,대구달서구
그린약국,81,약국,380000,경남,381100,양산시
삼보약국,81,약국,310000,경기,311700,시흥시
종로약국,81,약국,310000,경기,311901,고양덕양구
보건약국,81,약국,330000,충북,330300,제천시
캐슬약국,81,약국,310000,경기,310603,수원팔달구
건강약국,81,약국,210000,부산,210004,부산진구
신현대약국,81,약국,210000,부산,210004,부산진구
세기약국,81,약국,220000,인천,220008,인천계양구
나을약국,81,약국,230000,대구,230005,대구수성구
느티나무한약국,81,약국,230000,대구,230005,대구수성구
덕화약국,81,약국,370000,경북,370003,군위군
명일약국,81,약국,230000,대구,230004,대구서구
새날약국,81,약국,320000,강원,320500,춘천시
무등산약국,81,약국,240000,광주,240001,광주동구
한국약국,81,약국,230000,대구,230007,대구달서구
월곶약국,81,약국,310000,경기,312300,김포시
